label,text
1,當然外觀和內飾了
1,提速很不錯，在路上就是一亮點
1,操控好，越來越順手
1,操控很舒服
1,整車的乘坐舒適度
1,最滿意就是內飾，led燈光，還有外觀
1,最滿意的應該就是底盤懸掛了，開起來過個減速帶震感很小，而且過完的時候車子也非常的穩
1,最滿意的是他的座椅記憶功能，雖然是小功能但是很貼心
1,最滿意的是就內飾了，夠舒適
1,最滿意的算是外觀和整個車的安全構造設計，銷售介紹的氣簾esp什麼的銷售講的蠻多的，覺得比一些其他品牌說的詳細
1,相當霸氣的外形，高端上檔次的內飾，還有舒適的車內空間。
1,空間大、當然就是外觀和內飾了
1,空間大，上路很有面子
1,空間大，動力好，靜音非常棒，操控也十分的棒！
1,空間比較大，外觀好看
1,空間，大，外觀也很喜歡，我90後的朋友都說我應該買年輕一點的車，這車顯老，可是我就喜歡這種穩重型的。
1,純自主品脾能有不遜於合資品牌的表現。內飾用料比較實在。外觀符合國人審美觀點。希望廣汽傳祺能夠把ga8從品質上真正打造成國貨精品。可以打8分。
1,車大氣，空間大，舒適
1,車是真心不錯性價比很高
1,車的外形大氣上檔次，特別穩重
1,那就是這個車的舒適性真是太好了！堪稱完美！超靜音！做過的朋友都說好！
1,隔音避震換擋邏輯外觀大氣上檔次
1,音響很給力，聲音比較清楚，低音炮也很給力，外觀也比較喜歡
1,舒適的空間，沒有異味，只有淡淡的真皮味道。車子雖大，但操控很靈活，開起來穩，輕點油門，馬上上100。最喜歡迎賓座椅功能，很高級很貼心。空調很凍。音響效果真好，聽著音樂開車非常享受！
1,外觀大氣沈穩、內飾簡潔明朗、動力也夠用，我最想說的是配置、配置、配置，真心的不錯挺厚道的
1,最滿意的就是內飾，中控大氣，在用料子方面更是舒適，做工也十分精湛
1,品牌文化&前臉
1,當然m套件，第一次看到就深深的中毒了，在看其他車都沒有正眼看過。再就328的動力了，開起來真的太爽了。
1,配置，有後視鏡倒車翻轉，防炫目，重點是8個喇叭聽流行還不錯！
1,這個毫無疑問，操控肯定是第一位的，車子開起來也是很輕鬆；接著就是m套件的外觀真心帥！讓320i的外觀上了一個台階，變得更有氣質。
1,今天停車，後面一個車子下來一個女的，老是看我這車
1,側進氣口無框玻璃門自動尾翼加速性
1,加速和過彎，變道和超車真心不錯！和朋友的320li比起來我的標軸版更快更穩，車身很隨性比加長版還是要強那麼些的。另外，油耗也要低一些。
1,動力充沛，方向精准，外觀拉風
1,動力隨叫隨到，外形帥氣，尾翼吊炸天，四車門燈帥爆
1,回頭率那是槓槓的，全景天窗，正副可電動調節座椅，無框車門，底盤高度，藍天白雲標，運動模式下提速隨踩隨到。
1,外形時尚、能拉貨，寶馬牌客貨兩用車！
1,外形：無邊框窗，掀背，全景天窗。
1,外觀不錯，空間比較大，2920的軸距，後備箱超大，出去玩可以帶許多東西！特別是我們添了寶寶的家庭
1,外觀動力操控空間都很滿意。
1,外觀和尾翼以及無框門！
1,外觀帥氣、無框車門、裝x尾翼、精准的方向加上bmw進口品質
1,外觀比例協調，不低調也不高調；細節不多不少，剛剛好；天使眼靈動，既凶悍又妖嬈；藍天白雲螺旋標，很好！
1,外觀獨特，無框車門，自動尾翼，溜背造型，進口品質。動力總成平順性很高，低速很穩，高速也有力
1,外觀非常大氣，無框車門，電動尾翼，霸氣的前臉。感覺看著她心裡就美美的。
1,帥氣，空間動力
1,當然是空間跟小眾，電動尾翼尾門都不錯，動力非常不錯，覺得益於變速箱的聰明，懸掛系統感覺非常好
1,無框玻璃，電動後備箱，尾翼
1,無框車門加自動尾翼
1,無框門和小尾翼
1,最滿意的就是無框門，電動尾翼了。
1,最滿意的是外觀，和品牌。全景天窗，無框車門，拉風尾翼，掀背造型。操控性能，巨大的空間和後備箱。相對較高的地盤。總體實用又有面。
1,最滿意肯定是外觀了掀背無框車門自動升降尾翼泡妞裝逼利器.
1,溜背無框車窗全景天窗電動尾翼滿足以上條件的車沒gt空間大
1,空間當初毫不猶豫的下定空間是主要的一部分當然帥帥的無框車門加裝逼小尾翼也是不能少的
1,空間、外觀、油耗、動力
1,空間大，操控性好，無框車門、電動尾翼b格高，舒適度好。
1,空間大，無框車門，自動尾翼，全景天窗。
1,空間，外形，雖然是鈣版，也有不缺實用的配置。
1,空間／外形／油耗
1,自動尾翼，動力足夠，無邊車窗，跨界車。
1,車門、全景天窗、電動尾門
1,造型拉風，溜背，無框，尾翼，全景，7字出風口
1,首先是外形，掀背車的造型，比三系更高更厚重的車頭以及車身。無框玻璃，全景天窗，最最拉風的是寶馬里唯一的電動升降尾翼。
1,品牌效應絕對的，性價比高，操控棒，三大件都屬於同級別的頂級配置，led大燈很炫。
1,剛有小寶寶家用非常適合但偶爾又想風騷一下大溜背無框車窗帥炸天
1,空間，尾箱，外觀。
1,無框車門後掀背自動尾翼外觀吊炸天
1,均衡性，空間大於3小於5，造型略顯別緻又不太過出跳，跑車的溜背加上略高的底盤，是一款均衡的多用途車。
1,外形拉風??小尾翼一百分
1,外觀和動力，外觀絕對漂亮，動力夠用！
1,外觀設計和操控性
1,外觀，動力，空間。
1,好品牌穩操控大空間低油耗高顏值！
1,就是外型果斷就是炫酷屌炸天，無框車門加騷包小尾翼。
1,提速快，穩定性好，空間大，操控完美
1,整車進口，升了底盤就是跟華晨工藝不一樣，無框車門逼格高，電動升降尾翼，丁字褲，這都是我最看重的地方，空間那是大大的有啊，非常給力的後備箱很能裝哦！
1,無框車門掀背尾翼冰河銀配598真的很好看
1,無框車門掀背尾箱小尾翼110速度自動抬起車內空間離地距離駕駛感受，這些都是我最終選擇gt這部跨界綜合車的原因。
1,是繼寶馬5gt的第二款掀背造型的轎車，雖然前臉跟3系li設計基本一樣，但是3gt車頭更高，更顯得穩重大氣，內部空間更大。
1,最滿意的地方肯定是外觀，m套的艾藍，無邊框車窗，寶馬的進口品質。
1,漂亮的尾翼
1,自動尾翼（很拉風），無框車門，全景天窗，b格滿滿的，空間非常不錯，超大後備箱，小眾車，不會爛大街
1,無框車門、尾翼、大後備箱，避震溫柔，坐姿高過轎車低於suv
1,後排空間。無框車門。大天窗。低油耗
1,動力強勁，操控靈活，讓人總有一種止不住的駕馭感
1,動力足夠了
1,hud超級方便，媽媽再也不用擔心我低頭看儀錶盤走神了，動力相對一般2.0t充沛很多
1,m套件和led天使眼，nbt大屏，無鑰匙進入，看到車子的那一刻就心滿意足了哈哈！
1,擼主是一個典型的看顏值勝過看內涵的人，在這個看臉的時代，對小三最滿意的還是：外觀！外觀！外觀！
1,動力.動力.動力.操控.操控.操控！寶馬無需直線3系操控在我心中已經完美！
1,328i的動力不是蓋的！老婆開挺好，空間很好，操控其實我也不懂，比我的明銳好多了，哈哈…（勿噴！）掀背車的後備箱不用多說，如果你想，它就能！
1,外觀拉風，7字形的出風口、無框車門、可自動升降的尾翼、紅色的座椅……
1,外觀，我選配了m套，前臉沒得說，無框車門，自動尾翼。
1,拉風的外觀，騷包的內飾。無框車門，掀背後備箱，全景天窗，自動尾翼，倒七字出風口帥極了。紅內飾，黑鋁，加真皮儀表台，非常棒。
1,ｍ套件啦，外藍紅內，無可挑剔！！五礦車門老婆最愛！！自動升降尾翼，逼格滿滿！！
1,m套完美，紅內完美，裝逼小尾翼完美，其他一般吧。
1,亮騷的埃斯托藍色，無框車門加自動尾翼m套件，見了都說好看；m方向盤的手感和觀感都異常性感，轉向精准用了就放不下；245馬力的動力充足，加速明顯推背感，乘坐空間大，配置齊全，舒適進入非常方便
1,加m，很帥，2米9的軸距足夠坐人，實用性很好。
1,動力，外觀，空間，目前跑了1800公里，整體滿意，市區10個油以內，（小城市很少堵車，正常再8-9個油之間，偶爾會到10個）跑高速的話一般6個油，有一次定速100也跑出過5.1/100km的油耗
1,回頭率還可以，無框門，上檔次
1,外觀和空間，配置也夠了
1,外觀耐看，不怕爛大街。
1,尾翼，無框門
1,無框車門，電動尾翼
